,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,first year,last year,years played,all stars,hof,ows,dws,ws,win%
290,Avery Bradley,8733,1397,2211.0,768.0,155.0,796,2902.0,1053.0,8119,3485,11.0,1.8,2.8,1.0,0.2,0.36,0.43,2011,2022,12,0,False,-2.3,19.6,17.3,0.4
291,Avery Johnson,10058,6628,1977.0,1155.0,176.0,1259,215.0,32.0,8603,4117,8.0,5.3,1.6,0.9,0.1,0.15,0.48,1989,2004,16,0,False,37.1,25.4,62.5,0.5
292,Awvee Storey,143,21,81.0,10.0,2.0,60,16.0,4.0,140,58,2.4,0.4,1.4,0.2,0.0,0.25,0.41,2005,2008,4,0,False,0.1,0.1,0.30000000000000004,0.4
293,Axel Toupane,112,19,39.0,11.0,11.0,37,50.0,16.0,99,39,3.0,0.5,1.1,0.3,0.3,0.32,0.39,2016,2021,6,0,False,0.4,0.2,0.6,0.4
294,Ayo Dosunmu,1366,462,434.0,122.0,55.0,157,375.0,129.0,1105,559,8.7,2.9,2.8,0.8,0.4,0.34,0.51,2022,2023,2,0,False,2.4,3.5,5.9,0.5
295,B.J. Armstrong,7686,2690,1436.0,574.0,47.0,845,1076.0,452.0,6282,2995,9.1,3.2,1.7,0.7,0.1,0.42,0.48,1990,2000,11,1,False,33.7,14.4,48.0,0.5
296,B.J. Johnson,102,3,46.0,7.0,1.0,28,33.0,13.0,93,38,3.6,0.1,1.6,0.2,0.0,0.39,0.41,2019,2022,4,0,False,-0.1,0.1,0.2,0.3
297,B.J. Tyler,195,174,62.0,36.0,2.0,55,51.0,16.0,189,72,3.5,3.2,1.1,0.7,0.0,0.31,0.38,1995,1995,1,0,False,-1.2,0.5,-0.7,0.3
298,Bailey Howell,17770,1853,9383.0,0.0,0.0,950,0.0,0.0,13585,6515,18.7,2.0,9.9,0.0,0.0,0.0,0.48,1960,1971,12,6,True,83.8,30.9,114.7,0.5
299,Bam Adebayo,6146,1429,3538.0,428.0,370.0,418,62.0,8.0,4259,2358,14.7,3.4,8.5,1.0,0.9,0.13,0.55,2018,2023,6,2,False,23.099999999999998,19.7,42.900000000000006,0.5
300,Barney Cable,3770,618,2910.0,0.0,0.0,547,0.0,0.0,3828,1599,6.9,1.1,5.3,0.0,0.0,0.0,0.42,1959,1964,6,0,False,1.7999999999999998,7.6,9.2,0.3
301,Baron Davis,15092,6778,3514.0,1689.0,402.0,939,4752.0,1531.0,13396,5468,16.1,7.2,3.7,1.8,0.4,0.32,0.41,2000,2012,13,2,False,36.9,33.2,70.3,0.4
302,Barry Clemens,5312,905,2532.0,131.0,11.0,790,0.0,0.0,4987,2262,6.7,1.1,3.2,0.2,0.0,0.0,0.45,1966,1976,11,0,False,7.8,10.8,18.7,0.4
303,Barry Kramer,399,85,213.0,0.0,0.0,111,1.0,0.0,403,136,3.6,0.8,1.9,0.0,0.0,0.0,0.34,1965,1970,6,0,False,-0.7,1.0,0.29999999999999993,0.2
304,Barry Leibowitz,1788,602,340.0,0.0,0.0,164,78.0,12.0,1746,640,10.9,3.7,2.1,0.0,0.0,0.15,0.37,1968,1968,1,0,False,0.4000000000000001,2.5,3.0,0.2
305,Barry Nelson,35,7,20.0,0.0,0.0,28,0.0,0.0,36,15,1.2,0.2,0.7,0.0,0.0,0.0,0.42,1972,1972,1,0,False,-0.1,0.1,0.1,0.8
306,Barry Orms,1583,313,852.0,0.0,0.0,218,52.0,10.0,1636,620,7.3,1.4,3.9,0.0,0.0,0.19,0.38,1969,1970,2,0,False,-4.9,3.9,-1.0,0.3
307,Barry Parkhill,970,386,224.0,87.0,30.0,173,35.0,4.0,1048,418,5.6,2.2,1.3,0.5,0.2,0.11,0.4,1974,1976,3,0,False,-3.8,1.0,-2.9000000000000004,0.3
308,Barry Stevens,2,0,2.0,0.0,0.0,2,0.0,0.0,2,1,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1993,1993,1,0,False,0.0,0.0,0.0,0.5
309,Barry Sumpter,0,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989,1989,1,0,False,0.0,0.0,0.0,0.0
310,Barry Yates,69,7,40.0,0.0,0.0,24,0.0,0.0,83,31,2.9,0.3,1.7,0.0,0.0,0.0,0.37,1972,1972,1,0,False,-0.4,0.1,-0.2,0.4
311,Bart Kofoed,162,108,56.0,19.0,4.0,111,16.0,3.0,150,58,1.5,1.0,0.5,0.2,0.0,0.19,0.39,1988,1993,6,0,False,-0.6,0.5,0.0,0.6
312,Bato Govedarica,75,24,18.0,0.0,0.0,23,0.0,0.0,79,25,3.3,1.0,0.8,0.0,0.0,0.0,0.32,1954,1954,1,0,False,-0.1,0.3,0.2,0.6
313,Bayard Forrest,569,296,565.0,52.0,71.0,139,0.0,0.0,510,229,4.1,2.1,4.1,0.4,0.5,0.0,0.45,1978,1979,2,0,False,-0.1,2.8,2.5999999999999996,0.6
314,Belus Smawley,4047,756,374.0,0.0,0.0,321,0.0,0.0,4207,1481,12.6,2.4,1.2,0.0,0.0,0.0,0.35,1947,1952,6,0,False,22.3,6.3,28.4,0.4
315,Ben Bentil,0,0,2.0,0.0,0.0,3,1.0,0.0,3,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,2017,2017,1,0,False,-0.1,0.0,-0.1,0.3
316,Ben Clyde,69,5,41.0,5.0,3.0,25,0.0,0.0,72,31,2.8,0.2,1.6,0.2,0.1,0.0,0.43,1975,1975,1,0,False,0.0,0.2,0.2,0.7
317,Ben Coleman,2087,190,1278.0,137.0,140.0,297,8.0,0.0,1582,809,7.0,0.6,4.3,0.5,0.5,0.0,0.51,1987,1994,8,0,False,2.0,4.9,6.9,0.3
318,Ben Davis,54,5,53.0,6.0,2.0,40,0.0,0.0,59,21,1.4,0.1,1.3,0.2,0.0,0.0,0.36,1997,2000,4,0,False,-0.1,0.2,0.2,0.5
319,Ben Gillery,25,2,23.0,2.0,4.0,24,0.0,0.0,19,6,1.0,0.1,1.0,0.1,0.2,0.0,0.32,1989,1989,1,0,False,-0.1,0.1,0.0,0.3
320,Ben Goldfaden,2,0,0.0,0.0,0.0,2,0.0,0.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1947,1947,1,0,False,0.0,0.0,0.0,1.0
321,Ben Gordon,11084,1868,1851.0,508.0,114.0,744,2921.0,1171.0,9092,3931,14.9,2.5,2.5,0.7,0.2,0.4,0.43,2005,2015,11,0,False,19.2,14.0,33.4,0.4
322,Ben Handlogten,163,19,120.0,10.0,9.0,38,1.0,0.0,130,68,4.3,0.5,3.2,0.3,0.2,0.0,0.52,2004,2005,2,0,False,0.5,0.4,0.8999999999999999,0.4
323,Ben Hansbrough,57,21,18.0,7.0,2.0,28,23.0,6.0,45,15,2.0,0.8,0.6,0.2,0.1,0.26,0.33,2013,2013,1,0,False,-0.1,0.3,0.2,0.6
324,Ben Kelso,85,18,31.0,12.0,1.0,46,0.0,0.0,96,35,1.8,0.4,0.7,0.3,0.0,0.0,0.36,1974,1974,1,0,False,-0.3,0.3,0.0,0.6
325,Ben McDonald,1061,236,568.0,77.0,17.0,176,44.0,10.0,989,463,6.0,1.3,3.2,0.4,0.1,0.23,0.47,1986,1989,4,0,False,1.4,1.1,2.5,0.4
326,Ben McLemore,5421,602,1369.0,376.0,115.0,609,2672.0,965.0,4635,1903,8.9,1.0,2.2,0.6,0.2,0.36,0.41,2014,2022,9,0,False,3.0,6.4,9.299999999999999,0.4
327,Ben Moore,0,1,1.0,0.0,0.0,2,0.0,0.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2018,2018,1,0,False,0.0,0.0,0.0,0.5
328,Ben Poquette,5063,907,3832.0,393.0,828.0,776,63.0,13.0,4214,2037,6.5,1.2,4.9,0.5,1.1,0.21,0.48,1978,1987,10,0,False,15.700000000000001,15.9,31.6,0.3
329,Ben Schadler,56,6,0.0,0.0,0.0,37,0.0,0.0,116,23,1.5,0.2,0.0,0.0,0.0,0.0,0.2,1948,1948,1,0,False,-0.8,0.4,-0.5,0.6
330,Ben Scharnus,103,19,0.0,0.0,0.0,52,0.0,0.0,166,33,2.0,0.4,0.0,0.0,0.0,0.0,0.2,1947,1949,3,0,False,-0.4,0.3,-0.1,0.5
331,Ben Simmons,4673,2383,2480.0,518.0,223.0,317,36.0,5.0,3423,1917,14.7,7.5,7.8,1.6,0.7,0.14,0.56,2018,2023,6,3,False,15.8,16.7,32.5,0.6
332,Ben Uzoh,320,191,195.0,47.0,14.0,78,10.0,3.0,342,131,4.1,2.4,2.5,0.6,0.2,0.3,0.38,2011,2012,2,0,False,-0.2,1.0,0.9,0.2
333,Ben Wallace,6602,1542,11086.0,1457.0,2254.0,1160,55.0,7.0,5773,2707,5.7,1.3,9.6,1.3,1.9,0.13,0.47,1997,2012,16,4,True,23.1,74.1,97.1,0.5
334,Ben Warley,3982,381,2653.0,0.0,0.0,493,345.0,98.0,3316,1383,8.1,0.8,5.4,0.0,0.0,0.28,0.42,1963,1970,8,1,False,10.799999999999999,6.2,17.2,0.4
335,Bennedict Mathurin,1302,116,318.0,48.0,13.0,78,310.0,100.0,951,413,16.7,1.5,4.1,0.6,0.2,0.32,0.43,2023,2023,1,0,False,1.0,0.8,1.8,0.4
336,Bennie Swain,265,29,262.0,0.0,0.0,58,0.0,0.0,244,99,4.6,0.5,4.5,0.0,0.0,0.0,0.41,1959,1959,1,0,False,0.5,1.4,1.9,0.7
