,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,first year,last year,years played,all stars,hof,ows,dws,ws,win%
3117,Larry McNeill,3148,278,1717.0,211.0,91.0,367,0.0,0.0,2431,1124,8.6,0.8,4.7,0.6,0.2,0.0,0.46,1974,1979,6,0,False,10.0,6.3999999999999995,16.3,0.3
3118,Larry Micheaux,541,79,399.0,61.0,53.0,153,6.0,0.0,404,231,3.5,0.5,2.6,0.4,0.3,0.0,0.57,1984,1985,2,0,False,1.9000000000000001,2.2,4.1000000000000005,0.4
3119,Larry Mikan,158,41,139.0,0.0,0.0,53,0.0,0.0,186,62,3.0,0.8,2.6,0.0,0.0,0.0,0.33,1971,1971,1,0,False,-1.0,0.2,-0.8,0.2
3120,Larry Miller,8180,1446,3057.0,113.0,12.0,646,408.0,97.0,7066,3048,12.7,2.2,4.7,0.2,0.0,0.24,0.43,1969,1975,7,0,False,10.0,13.8,23.8,0.3
3121,Larry Moffett,16,7,21.0,2.0,2.0,20,0.0,0.0,17,5,0.8,0.4,1.0,0.1,0.1,0.0,0.29,1978,1978,1,0,False,-0.1,0.0,-0.1,0.3
3122,Larry Moore,27,1,16.0,0.0,0.0,12,5.0,0.0,33,8,2.2,0.1,1.3,0.0,0.0,0.0,0.24,1968,1968,1,0,False,-0.2,0.0,-0.2,0.3
3123,Larry Nance,16967,2600,7959.0,935.0,2186.0,987,61.0,10.0,12584,6857,17.2,2.6,8.1,0.9,2.2,0.16,0.54,1982,1994,13,3,False,70.0,47.5,117.4,0.5
3124,Larry Nance Jr.,4545,1029,3631.0,671.0,294.0,573,623.0,205.0,3468,1878,7.9,1.8,6.3,1.2,0.5,0.33,0.54,2016,2023,8,0,False,22.8,14.6,37.4,0.3
3125,Larry Owens,93,20,43.0,18.0,11.0,31,31.0,14.0,75,34,3.0,0.6,1.4,0.6,0.4,0.45,0.45,2011,2012,2,0,False,0.1,0.30000000000000004,0.5,0.3
3126,Larry Robinson,738,153,305.0,100.0,7.0,159,251.0,94.0,732,282,4.6,1.0,1.9,0.6,0.0,0.37,0.39,1991,2002,12,0,False,0.19999999999999993,1.6,1.8000000000000003,0.2
3127,Larry Sanders,1520,174,1345.0,152.0,429.0,238,5.0,0.0,1395,669,6.4,0.7,5.7,0.6,1.8,0.0,0.48,2011,2017,7,0,False,1.7999999999999998,8.5,10.3,0.4
3128,Larry Siegfried,6078,2022,1609.0,0.0,0.0,581,0.0,0.0,5371,2192,10.5,3.5,2.8,0.0,0.0,0.0,0.41,1964,1972,9,0,False,11.8,21.3,33.2,0.6
3129,Larry Smith,5904,941,8125.0,699.0,457.0,883,7.0,0.0,4743,2519,6.7,1.1,9.2,0.8,0.5,0.0,0.53,1981,1993,13,0,False,20.5,25.4,46.2,0.5
3130,Larry Spriggs,873,218,384.0,80.0,28.0,169,6.0,0.0,659,341,5.2,1.3,2.3,0.5,0.2,0.0,0.52,1982,1986,5,0,False,0.9999999999999999,2.4,3.5,0.7
3131,Larry Staverman,1502,283,1195.0,0.0,0.0,325,0.0,0.0,1231,572,4.6,0.9,3.7,0.0,0.0,0.0,0.46,1959,1964,6,0,False,7.0,1.6,8.5,0.3
3132,Larry Steele,5009,1719,1781.0,846.0,96.0,610,4.0,0.0,4180,2020,8.2,2.8,2.9,1.4,0.2,0.0,0.48,1972,1980,9,0,False,15.0,13.4,28.3,0.5
3133,Larry Stewart,2005,338,1077.0,147.0,106.0,270,44.0,9.0,1503,765,7.4,1.3,4.0,0.5,0.4,0.2,0.51,1992,1997,6,0,False,5.2,4.4,9.8,0.4
3134,Larry Sykes,0,0,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1996,1996,1,0,False,0.0,0.0,0.0,0.0
3135,Larry Wright,2824,1165,550.0,283.0,58.0,343,23.0,6.0,2558,1190,8.2,3.4,1.6,0.8,0.2,0.26,0.47,1977,1982,6,0,False,5.0,5.7,10.6,0.5
3136,Lars Hansen,76,14,59.0,1.0,1.0,15,0.0,0.0,57,29,5.1,0.9,3.9,0.1,0.1,0.0,0.51,1979,1979,1,0,False,0.4,0.3,0.6,0.6
3137,Latrell Sprewell,16712,3664,3724.0,1294.0,399.0,913,3272.0,1104.0,14294,6076,18.3,4.0,4.1,1.4,0.4,0.34,0.43,1993,2005,13,4,False,28.3,27.8,56.3,0.5
3138,Lauri Markkanen,6030,477,2474.0,231.0,179.0,348,2237.0,829.0,4617,2101,17.3,1.4,7.1,0.7,0.5,0.37,0.46,2018,2023,6,1,False,14.7,10.2,24.8,0.4
3139,Lavor Postell,195,13,45.0,12.0,2.0,61,44.0,11.0,176,59,3.2,0.2,0.7,0.2,0.0,0.25,0.34,2001,2003,3,0,False,-0.6,0.30000000000000004,-0.30000000000000004,0.5
3140,Lavoy Allen,2150,455,2154.0,144.0,247.0,453,28.0,4.0,2058,962,4.7,1.0,4.8,0.3,0.5,0.14,0.47,2012,2017,6,0,False,6.3,9.1,15.3,0.4
3141,Lawrence Boston,56,2,39.0,4.0,2.0,13,0.0,0.0,52,24,4.3,0.2,3.0,0.3,0.2,0.0,0.46,1980,1980,1,0,False,0.1,0.1,0.2,0.5
3142,Lawrence Funderburke,2031,183,1142.0,94.0,100.0,318,17.0,2.0,1606,812,6.4,0.6,3.6,0.3,0.3,0.12,0.51,1998,2005,8,0,False,8.0,4.8,13.0,0.6
3143,Lawrence Moten,747,182,181.0,77.0,32.0,119,197.0,59.0,701,286,6.3,1.5,1.5,0.6,0.3,0.3,0.41,1996,1998,3,0,False,-0.7,0.7,0.09999999999999998,0.2
3144,Lawrence Roberts,334,35,310.0,44.0,15.0,87,4.0,0.0,252,114,3.8,0.4,3.6,0.5,0.2,0.0,0.45,2006,2007,2,0,False,1.5999999999999999,0.8999999999999999,2.5,0.4
3145,Lazar Hayward,207,35,90.0,17.0,8.0,72,78.0,21.0,202,70,2.9,0.5,1.2,0.2,0.1,0.27,0.35,2011,2013,3,0,False,-0.1,0.30000000000000004,0.3,0.4
3146,Lazaro Borrell,62,10,40.0,6.0,3.0,17,3.0,0.0,63,28,3.6,0.6,2.4,0.4,0.2,0.0,0.44,2000,2000,1,0,False,0.1,0.2,0.3,0.5
3147,LeBron James,38652,10420,10667.0,2186.0,1073.0,1421,6563.0,2261.0,28044,14152,27.2,7.3,7.5,1.5,0.8,0.34,0.5,2004,2023,20,19,False,177.1,78.1,255.3,0.6
3148,LeRon Ellis,277,29,220.0,25.0,37.0,91,0.0,0.0,254,110,3.0,0.3,2.4,0.3,0.4,0.0,0.43,1992,1996,5,0,False,0.4,0.8999999999999999,1.3,0.5
3149,Leandro Barbosa,9743,1871,1848.0,749.0,128.0,914,2726.0,1053.0,8046,3674,10.7,2.0,2.0,0.8,0.1,0.39,0.46,2004,2017,14,0,False,25.1,14.0,39.0,0.6
3150,Leandro Bolmaro,56,28,50.0,9.0,1.0,49,22.0,5.0,74,20,1.1,0.6,1.0,0.2,0.0,0.23,0.27,2022,2023,2,0,False,-0.5,0.2,-0.3,0.6
3151,Leary Lentz,1525,151,1190.0,0.0,0.0,218,5.0,0.0,1513,613,7.0,0.7,5.5,0.0,0.0,0.0,0.41,1968,1969,2,0,False,-0.8,4.7,3.9,0.2
3152,Ledell Eackles,4783,740,979.0,249.0,31.0,441,408.0,137.0,4071,1810,10.8,1.7,2.2,0.6,0.1,0.34,0.44,1989,1998,10,0,False,5.7,5.2,10.7,0.4
3153,Lee Davis,3511,435,2195.0,68.0,80.0,453,37.0,7.0,3130,1510,7.8,1.0,4.8,0.2,0.2,0.19,0.48,1969,1976,8,0,False,6.5,6.2,12.8,0.4
3154,Lee Johnson,34,2,44.0,0.0,10.0,24,0.0,0.0,50,14,1.4,0.1,1.8,0.0,0.4,0.0,0.28,1981,1981,1,0,False,-0.5,0.2,-0.4,0.2
3155,Lee Knorek,873,206,0.0,0.0,0.0,131,0.0,0.0,1047,317,6.7,1.6,0.0,0.0,0.0,0.0,0.3,1947,1950,4,0,False,3.5,5.7,9.299999999999999,0.5
3156,Lee Mayberry,2546,1767,642.0,352.0,43.0,496,1006.0,379.0,2287,950,5.1,3.6,1.3,0.7,0.1,0.38,0.42,1993,1999,7,0,False,6.4,1.4,7.800000000000001,0.3
3157,Lee Nailon,2963,336,1079.0,148.0,61.0,363,12.0,1.0,2693,1268,8.2,0.9,3.0,0.4,0.2,0.08,0.47,2001,2006,6,0,False,4.6000000000000005,4.1,8.8,0.4
3158,Lee Robbins,224,19,0.0,0.0,0.0,47,0.0,0.0,285,81,4.8,0.4,0.0,0.0,0.0,0.0,0.28,1948,1949,2,0,False,0.5,-0.2,0.2,0.1
3159,Lee Shaffer,3291,232,1240.0,0.0,0.0,196,0.0,0.0,3160,1328,16.8,1.2,6.3,0.0,0.0,0.0,0.42,1962,1964,3,1,False,3.2,5.1,8.2,0.5
3160,Lee Winfield,2959,1003,828.0,68.0,41.0,403,0.0,0.0,2511,1191,7.3,2.5,2.1,0.2,0.1,0.0,0.47,1970,1976,7,0,False,8.2,3.9,12.1,0.5
3161,Leland Mitchell,321,73,182.0,0.0,0.0,78,76.0,21.0,350,122,4.1,0.9,2.3,0.0,0.0,0.28,0.35,1968,1968,1,0,False,-0.6,1.2,0.6,0.6
3162,Len Chappell,8745,689,4903.0,0.0,0.0,937,0.0,0.0,7564,3427,9.3,0.7,5.2,0.0,0.0,0.0,0.45,1963,1972,10,3,False,20.6,10.0,30.5,0.3
3163,Len Elmore,3948,616,3360.0,582.0,674.0,658,5.0,1.0,3968,1627,6.0,0.9,5.1,0.9,1.0,0.2,0.41,1975,1984,10,0,False,-2.2,20.9,18.8,0.5
3164,Len Kosmalski,110,53,144.0,9.0,10.0,76,0.0,0.0,103,41,1.4,0.7,1.9,0.1,0.1,0.0,0.4,1975,1976,2,0,False,0.0,0.6,0.6,0.5
3165,Lennie Rosenbluth,342,29,145.0,0.0,0.0,82,0.0,0.0,410,134,4.2,0.4,1.8,0.0,0.0,0.0,0.33,1958,1959,2,0,False,-1.3,0.6000000000000001,-0.7,0.5
3166,Lenny Wilkens,17772,7211,5030.0,174.0,26.0,1077,0.0,0.0,14327,6189,16.5,6.7,4.7,0.2,0.0,0.0,0.43,1961,1975,15,9,True,60.3,35.5,95.6,0.5
3167,Leo Barnhorst,3693,1342,1803.0,0.0,0.0,416,0.0,0.0,4277,1555,8.9,3.2,4.3,0.0,0.0,0.0,0.36,1950,1954,5,2,False,-0.6,13.2,12.4,0.4
3168,Leo Gottlieb,465,36,0.0,0.0,0.0,84,0.0,0.0,722,208,5.5,0.4,0.0,0.0,0.0,0.0,0.29,1947,1948,2,0,False,0.20000000000000007,1.7,1.7999999999999998,0.6
3169,Leo Katkaveck,457,136,0.0,0.0,0.0,107,0.0,0.0,583,185,4.3,1.3,0.0,0.0,0.0,0.0,0.32,1949,1950,2,0,False,-0.3999999999999999,2.3,1.9000000000000001,0.6
3170,Leo Klier,802,177,0.0,0.0,0.0,113,0.0,0.0,1008,282,7.1,1.6,0.0,0.0,0.0,0.0,0.28,1949,1950,2,0,False,-2.1,4.7,2.6,0.5
3171,Leo Kubiak,710,201,0.0,0.0,0.0,62,0.0,0.0,794,259,11.5,3.2,0.0,0.0,0.0,0.0,0.33,1950,1950,1,0,False,1.3,-0.8,0.5,0.3
3172,Leo Mogus,3249,507,102.0,0.0,0.0,341,0.0,0.0,3332,1077,9.5,1.5,0.3,0.0,0.0,0.0,0.32,1947,1951,5,0,False,24.8,9.7,34.5,0.3
3173,Leo Rautins,48,32,35.0,9.0,2.0,32,0.0,0.0,60,21,1.5,1.0,1.1,0.3,0.1,0.0,0.35,1984,1985,2,0,False,-0.4,0.3,-0.1,0.6
3174,Leon Benbow,628,183,214.0,73.0,17.0,115,0.0,0.0,645,254,5.5,1.6,1.9,0.6,0.1,0.0,0.39,1975,1976,2,0,False,-0.1,1.7999999999999998,1.7,0.4
3175,Leon Blevins,2,1,2.0,0.0,0.0,2,0.0,0.0,4,1,1.0,0.5,1.0,0.0,0.0,0.0,0.25,1951,1951,1,0,False,-0.1,0.0,0.0,0.5
3176,Leon Brown,0,0,0.0,0.0,0.0,5,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947,1947,1,0,False,-0.1,0.0,-0.1,0.4
3177,Leon Douglas,3587,479,2954.0,210.0,325.0,456,4.0,0.0,2798,1386,7.9,1.1,6.5,0.5,0.7,0.0,0.5,1977,1983,7,0,False,5.3,9.8,15.100000000000001,0.4
3178,Leon Powe,1642,85,974.0,79.0,86.0,269,7.0,0.0,1071,549,6.1,0.3,3.6,0.3,0.3,0.0,0.51,2007,2011,5,0,False,7.2,5.300000000000001,12.6,0.5
3179,Leon Smith,33,3,33.0,5.0,1.0,15,0.0,0.0,28,11,2.2,0.2,2.2,0.3,0.1,0.0,0.39,2002,2004,3,0,False,0.1,0.1,0.2,0.4
3180,Leon Wood,2674,1223,463.0,187.0,5.0,394,771.0,266.0,2303,918,6.8,3.1,1.2,0.5,0.0,0.35,0.4,1985,1991,7,0,False,8.0,2.8,10.9,0.3
3181,Leonard Gray,3042,614,1462.0,254.0,122.0,307,0.0,0.0,2788,1288,9.9,2.0,4.8,0.8,0.4,0.0,0.46,1975,1977,3,0,False,4.1,7.6,11.7,0.4
3182,Leonard Taylor,11,1,12.0,0.0,0.0,10,1.0,0.0,6,0,1.1,0.1,1.2,0.0,0.0,0.0,0.0,1990,1990,1,0,False,-0.1,0.0,-0.1,0.5
3183,Leroy Chollet,181,49,15.0,0.0,0.0,63,0.0,0.0,230,67,2.9,0.8,0.2,0.0,0.0,0.0,0.29,1950,1951,2,0,False,-0.7000000000000001,0.9,0.20000000000000007,0.7
3184,Leroy Combs,218,38,56.0,23.0,18.0,48,3.0,0.0,163,81,4.5,0.8,1.2,0.5,0.4,0.0,0.5,1984,1984,1,0,False,-0.2,0.6,0.4,0.3
3185,Leroy Ellis,11147,1544,9486.0,146.0,151.0,1127,0.0,0.0,10347,4564,9.9,1.4,8.4,0.1,0.1,0.0,0.44,1963,1976,14,0,False,18.2,30.1,48.4,0.5
3186,Leroy Wright,65,15,138.0,0.0,0.0,27,0.0,0.0,73,28,2.4,0.6,5.1,0.0,0.0,0.0,0.38,1968,1969,2,0,False,-0.30000000000000004,0.5,0.2,0.6
3187,Les Hunter,6480,847,3717.0,0.0,0.0,548,210.0,42.0,5613,2488,11.8,1.5,6.8,0.0,0.0,0.2,0.44,1965,1973,9,2,False,11.1,16.7,27.6,0.5
3188,Les Jepsen,53,2,67.0,2.0,8.0,52,2.0,0.0,60,20,1.0,0.0,1.3,0.0,0.2,0.0,0.33,1991,1992,2,0,False,-0.1,0.2,0.1,0.4
3189,Les Pugh,712,75,0.0,0.0,0.0,116,0.0,0.0,829,236,6.1,0.6,0.0,0.0,0.0,0.0,0.28,1949,1950,2,0,False,-0.1,0.6,0.6,0.3
3190,Lester Conner,4597,2834,1973.0,1170.0,66.0,761,114.0,22.0,3825,1735,6.0,3.7,2.6,1.5,0.1,0.19,0.45,1983,1995,13,0,False,14.5,16.1,30.5,0.4
3191,Lester Hudson,500,120,141.0,54.0,14.0,98,181.0,49.0,468,178,5.1,1.2,1.4,0.6,0.1,0.27,0.38,2010,2015,6,0,False,-0.5,0.9,0.5,0.3
3192,Lester Quinones,10,2,3.0,1.0,0.0,4,4.0,2.0,5,2,2.5,0.5,0.8,0.2,0.0,0.5,0.4,2023,2023,1,0,False,-0.1,0.0,0.0,0.5
3193,Lester Selvage,1103,252,219.0,0.0,0.0,82,465.0,147.0,1058,375,13.5,3.1,2.7,0.0,0.0,0.32,0.35,1968,1970,3,0,False,1.7,0.6,2.3,0.3
3194,Levern Tart,8697,1396,2202.0,0.0,0.0,468,139.0,33.0,7550,3284,18.6,3.0,4.7,0.0,0.0,0.24,0.43,1968,1971,4,4,False,19.5,9.4,28.900000000000002,0.2
3195,Levi Fontaine,134,22,15.0,0.0,0.0,35,0.0,0.0,145,53,3.8,0.6,0.4,0.0,0.0,0.0,0.37,1971,1971,1,0,False,-0.4,0.1,-0.3,0.5
3196,Lew Hitch,2809,664,2874.0,0.0,0.0,556,0.0,0.0,2734,1037,5.1,1.2,5.2,0.0,0.0,0.0,0.38,1952,1957,6,0,False,5.2,14.7,20.1,0.4
3197,Lewis Brown,2,0,2.0,0.0,0.0,2,0.0,0.0,3,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1981,1981,1,0,False,-0.1,0.0,-0.1,0.5
3198,Lewis Lloyd,5199,1149,1210.0,368.0,133.0,409,47.0,10.0,4197,2202,12.7,2.8,3.0,0.9,0.3,0.21,0.52,1982,1990,9,0,False,12.1,7.7,19.9,0.5
3199,Linas Kleiza,3561,321,1470.0,159.0,73.0,409,1154.0,387.0,2912,1268,8.7,0.8,3.6,0.4,0.2,0.34,0.44,2006,2013,8,0,False,7.3,6.3,13.6,0.5
3200,Lindell Wigginton,130,37,32.0,5.0,3.0,26,44.0,15.0,98,44,5.0,1.4,1.2,0.2,0.1,0.34,0.45,2022,2023,2,0,False,0.0,0.2,0.30000000000000004,0.6
3201,Lindsay Hairston,273,21,179.0,21.0,32.0,47,0.0,0.0,228,104,5.8,0.4,3.8,0.4,0.7,0.0,0.46,1976,1976,1,0,False,0.3,0.7,1.0,0.4
3202,Lindsey Hunter,7956,2506,2021.0,1120.0,165.0,937,2984.0,1075.0,7663,2970,8.5,2.7,2.2,1.2,0.2,0.36,0.39,1994,2010,17,0,False,9.700000000000001,23.0,32.8,0.6
3203,Lindy Waters III,413,52,148.0,33.0,19.0,66,308.0,111.0,353,141,6.3,0.8,2.2,0.5,0.3,0.36,0.4,2022,2023,2,0,False,0.8999999999999999,1.0,1.9000000000000001,0.4
3204,Linton Johnson,765,85,637.0,97.0,76.0,205,146.0,47.0,753,313,3.7,0.4,3.1,0.5,0.4,0.32,0.42,2004,2009,6,0,False,-0.5,3.3,3.1,0.3
3205,Linton Townes,265,33,68.0,21.0,9.0,64,25.0,9.0,256,113,4.1,0.5,1.1,0.3,0.1,0.36,0.44,1983,1985,3,0,False,0.1,0.4,0.6,0.6
3206,Lionel Billingy,393,49,280.0,40.0,10.0,46,2.0,0.0,351,150,8.5,1.1,6.1,0.9,0.2,0.0,0.43,1975,1975,1,0,False,-1.3,0.9,-0.4,0.2
3207,Lionel Chalmers,111,51,31.0,13.0,0.0,36,49.0,12.0,125,42,3.1,1.4,0.9,0.4,0.0,0.24,0.34,2005,2005,1,0,False,-0.5,0.2,-0.2,0.5
3208,Lionel Hollins,8337,3168,1690.0,1129.0,202.0,720,107.0,16.0,7737,3413,11.6,4.4,2.3,1.6,0.3,0.15,0.44,1976,1985,10,1,False,0.6000000000000002,22.5,23.0,0.6
3209,Lionel Malamed,516,122,0.0,0.0,0.0,88,0.0,0.0,580,194,5.9,1.4,0.0,0.0,0.0,0.0,0.33,1949,1949,1,0,False,2.0,1.5,3.3,0.2
3210,Lionel Simmons,5833,1498,2833.0,514.0,361.0,454,141.0,43.0,5179,2242,12.8,3.3,6.2,1.1,0.8,0.3,0.43,1991,1997,7,0,False,2.7,14.1,16.9,0.4
3211,Litterial Green,423,182,75.0,49.0,6.0,148,26.0,2.0,343,144,2.9,1.2,0.5,0.3,0.0,0.08,0.42,1993,1999,7,0,False,0.7000000000000001,1.1,1.6,0.6
3212,Lloyd Batts,598,106,197.0,73.0,6.0,58,147.0,42.0,680,249,10.3,1.8,3.4,1.3,0.1,0.29,0.37,1975,1975,1,0,False,-1.4,1.0,-0.5,0.2
3213,Lloyd Daniels,1717,378,546.0,134.0,74.0,252,651.0,199.0,1701,669,6.8,1.5,2.2,0.5,0.3,0.31,0.39,1993,1998,6,0,False,0.30000000000000004,3.0,3.4000000000000004,0.5
3214,Lloyd Neal,4846,632,3370.0,178.0,324.0,435,0.0,0.0,4087,1981,11.1,1.5,7.7,0.4,0.7,0.0,0.48,1973,1979,7,0,False,11.8,10.9,22.7,0.5
3215,Lloyd Walton,1442,1243,370.0,264.0,28.0,341,4.0,1.0,1319,599,4.2,3.6,1.1,0.8,0.1,0.25,0.45,1977,1981,5,0,False,1.6,3.7,5.300000000000001,0.5
3216,Logan Vander Velden,9,1,6.0,0.0,0.0,15,5.0,0.0,14,3,0.6,0.1,0.4,0.0,0.0,0.0,0.21,1996,1996,1,0,False,-0.1,0.0,-0.1,0.4
3217,London Perrantes,7,5,4.0,2.0,1.0,14,3.0,0.0,13,2,0.5,0.4,0.3,0.1,0.1,0.0,0.15,2018,2018,1,0,False,-0.1,0.0,-0.1,0.6
3218,Lonnie Eggleston,4,1,0.0,0.0,0.0,2,0.0,0.0,4,1,2.0,0.5,0.0,0.0,0.0,0.0,0.25,1949,1949,1,0,False,0.0,0.0,0.0,0.5
3219,Lonnie Kluttz,0,0,5.0,0.0,0.0,3,0.0,0.0,4,0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1971,1971,1,0,False,-0.1,0.0,-0.1,0.3
3220,Lonnie Lynn,520,86,516.0,0.0,0.0,104,6.0,0.0,550,224,5.0,0.8,5.0,0.0,0.0,0.0,0.41,1970,1970,1,0,False,-1.4,1.6,0.2,0.2
3221,Lonnie Shelton,8049,1459,4136.0,739.0,559.0,673,31.0,3.0,6950,3416,12.0,2.2,6.1,1.1,0.8,0.1,0.49,1977,1986,10,1,False,11.9,25.6,37.3,0.5
3222,Lonnie Walker IV,2606,394,601.0,142.0,68.0,264,998.0,348.0,2303,971,9.9,1.5,2.3,0.5,0.3,0.35,0.42,2019,2023,5,0,False,0.1,3.8000000000000003,3.7,0.5
3223,Lonnie Wright,4098,757,1066.0,0.0,0.0,407,509.0,128.0,4102,1642,10.1,1.9,2.6,0.0,0.0,0.25,0.4,1968,1972,5,0,False,-2.8,7.7,5.0,0.4
3224,Lonny Baxter,1006,64,781.0,65.0,96.0,265,8.0,2.0,843,395,3.8,0.2,2.9,0.2,0.4,0.25,0.47,2003,2006,4,0,False,1.4,3.7,5.1,0.2
3225,Lonzo Ball,2995,1563,1447.0,391.0,162.0,252,1633.0,595.0,2790,1117,11.9,6.2,5.7,1.6,0.6,0.36,0.4,2018,2022,5,0,False,2.0,9.3,11.4,0.4
3226,Loren Meyer,911,96,625.0,42.0,65.0,194,30.0,12.0,846,368,4.7,0.5,3.2,0.2,0.3,0.4,0.43,1996,1999,4,0,False,-1.7000000000000002,1.8,0.20000000000000007,0.3
3227,Loren Woods,555,74,682.0,55.0,128.0,215,7.0,1.0,496,208,2.6,0.3,3.2,0.3,0.6,0.14,0.42,2002,2008,7,0,False,0.19999999999999998,2.8,3.2,0.5
3228,Lorenzen Wright,6206,626,4981.0,474.0,575.0,796,29.0,2.0,5594,2562,7.8,0.8,6.3,0.6,0.7,0.07,0.46,1997,2009,13,0,False,10.3,19.9,30.5,0.4
3229,Lorenzo Brown,293,183,151.0,61.0,15.0,103,106.0,18.0,338,123,2.8,1.8,1.5,0.6,0.1,0.17,0.36,2014,2019,6,0,False,-1.2,0.9,-0.1,0.4
3230,Lorenzo Charles,122,8,39.0,2.0,6.0,36,0.0,0.0,88,49,3.4,0.2,1.1,0.1,0.2,0.0,0.56,1986,1986,1,0,False,0.3,0.2,0.5,0.6
3231,Lorenzo Romar,2135,1227,478.0,303.0,37.0,368,126.0,23.0,1920,884,5.8,3.3,1.3,0.8,0.1,0.18,0.46,1981,1985,5,0,False,5.0,5.3,10.4,0.4
3232,Lorenzo Williams,903,277,1875.0,157.0,413.0,318,3.0,0.0,867,404,2.8,0.9,5.9,0.5,1.3,0.0,0.47,1993,2000,8,0,False,1.8,6.9,8.700000000000001,0.3
3233,Lou Amundson,1953,278,1998.0,200.0,389.0,550,4.0,0.0,1751,811,3.6,0.5,3.6,0.4,0.7,0.0,0.46,2007,2016,10,0,False,-0.2999999999999999,7.5,7.699999999999999,0.4
3234,Lou Hudson,17940,2432,3926.0,516.0,98.0,890,0.0,0.0,15129,7392,20.2,2.7,4.4,0.6,0.1,0.0,0.49,1967,1979,13,6,True,63.3,17.7,80.9,0.5
3235,Lou Roe,130,21,92.0,13.0,9.0,66,20.0,5.0,138,46,2.0,0.3,1.4,0.2,0.1,0.25,0.33,1996,1997,2,0,False,-0.5,0.5,0.0,0.5
3236,Lou Spicer,1,0,0.0,0.0,0.0,4,0.0,0.0,7,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1947,1947,1,0,False,-0.2,0.0,-0.2,0.5
3237,Lou Tsioropoulos,910,165,751.0,0.0,0.0,157,0.0,0.0,1070,337,5.8,1.1,4.8,0.0,0.0,0.0,0.31,1957,1959,3,0,False,-2.8,4.8,2.0999999999999996,0.7
3238,Lou Williams,17763,4253,2824.0,1079.0,218.0,1270,4765.0,1689.0,13689,5740,14.0,3.3,2.2,0.8,0.2,0.35,0.42,2006,2022,17,0,False,52.0,21.3,73.5,0.4
3239,Louie Dampier,15279,4687,2543.0,504.0,163.0,960,2217.0,794.0,13465,5982,15.9,4.9,2.6,0.5,0.2,0.36,0.44,1968,1979,12,7,True,42.8,31.3,74.0,0.6
3240,Louie Nelson,2340,470,579.0,224.0,28.0,257,0.0,0.0,2085,904,9.1,1.8,2.3,0.9,0.1,0.0,0.43,1974,1978,5,0,False,2.1999999999999997,4.0,6.3,0.4
3241,Louis King,129,25,44.0,12.0,4.0,27,57.0,20.0,115,48,4.8,0.9,1.6,0.4,0.1,0.35,0.42,2020,2023,4,0,False,0.2,0.1,0.39999999999999997,0.4
3242,Louis Orr,5545,853,2117.0,455.0,163.0,569,36.0,3.0,4539,2125,9.7,1.5,3.7,0.8,0.3,0.08,0.47,1981,1988,8,0,False,12.3,13.6,25.7,0.4
3243,Lowes Moore,752,316,227.0,89.0,19.0,112,55.0,11.0,706,312,6.7,2.8,2.0,0.8,0.2,0.2,0.44,1981,1983,3,0,False,0.30000000000000004,1.3,1.5,0.3
3244,Loy Petersen,199,48,67.0,0.0,0.0,69,0.0,0.0,199,77,2.9,0.7,1.0,0.0,0.0,0.0,0.39,1969,1970,2,0,False,-0.30000000000000004,0.5,0.3,0.4
3245,Loy Vaught,7152,675,5054.0,531.0,235.0,740,86.0,21.0,6243,3141,9.7,0.9,6.8,0.7,0.3,0.24,0.5,1991,2001,11,0,False,16.9,19.9,36.6,0.4
3246,Loyd King,506,117,125.0,0.0,0.0,84,90.0,21.0,523,191,6.0,1.4,1.5,0.0,0.0,0.23,0.37,1972,1973,2,0,False,-1.2,1.4,0.10000000000000003,0.3
3247,Luc Longley,4618,945,3227.0,323.0,628.0,643,6.0,0.0,4112,1904,7.2,1.5,5.0,0.5,1.0,0.0,0.46,1992,2001,10,0,False,-0.30000000000000016,20.2,19.7,0.5
3248,Luc Mbah a Moute,4604,624,2946.0,642.0,277.0,753,636.0,211.0,3901,1772,6.1,0.8,3.9,0.9,0.4,0.33,0.45,2009,2020,12,0,False,6.8,20.2,27.0,0.5
3249,Lucas Nogueira,446,72,388.0,89.0,144.0,141,34.0,9.0,288,182,3.2,0.5,2.8,0.6,1.0,0.26,0.63,2015,2018,4,0,False,2.6,3.5,6.0,0.7
3250,Lucious Harris,5784,1130,1864.0,556.0,86.0,800,1155.0,402.0,5151,2194,7.2,1.4,2.3,0.7,0.1,0.35,0.43,1994,2005,12,0,False,16.7,12.2,28.6,0.4
3251,Lucius Allen,10667,3546,2483.0,740.0,153.0,768,0.0,0.0,9555,4395,13.9,4.6,3.2,1.0,0.2,0.0,0.46,1970,1979,10,0,False,24.7,21.0,45.7,0.5
3252,Luguentz Dort,2863,357,826.0,197.0,64.0,213,1230.0,408.0,2456,965,13.4,1.7,3.9,0.9,0.3,0.33,0.39,2020,2023,4,0,False,0.6,5.0,5.4,0.4
