,player_id,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,mpg,first year,last year,years played,hof,ows,dws,ws,ws/48,ows/48,dws/48,win%,all stars,MVPs,DPOYs,MVP share,DPOY share,pos
37,4475,Bogdan Bogdanović,5257,1223,1248.0,368.0,91.0,370,2294.0,888.0,4371,1924,14.2,3.3,3.4,1.0,0.2,0.387,0.44,28.5,2018,2023,6,False,12.0,7.1,19.1,0.09,0.05,0.03,0.46,0,0.0,0.0,0.0,0.0,SG
38,4224,Bojan Bogdanović,11429,1208,2684.0,402.0,57.0,743,3889.0,1522.0,8588,3939,15.4,1.6,3.6,0.5,0.1,0.391,0.459,28.9,2015,2023,9,False,26.2,13.0,39.4,0.09,0.06,0.03,0.43,0,0.0,0.0,0.0,0.0,SF
39,4692,Bol Bol,776,87,468.0,36.0,103.0,123,150.0,44.0,591,315,6.3,0.7,3.8,0.3,0.8,0.293,0.533,14.9,2020,2023,4,False,-0.2,2.6,2.5,0.07,-0.01,0.07,0.51,0,0.0,0.0,0.0,0.0,PF
40,4908,Bones Hyland,2016,535,458.0,119.0,50.0,181,988.0,365.0,1713,686,11.1,3.0,2.5,0.7,0.3,0.369,0.4,19.2,2022,2023,2,False,1.7000000000000002,3.5,5.199999999999999,0.07,0.02,0.05,0.41,0,0.0,0.0,0.0,0.0,PG
41,4072,Bradley Beal,15391,2972,2837.0,772.0,284.0,695,4070.0,1514.0,12235,5624,22.1,4.3,4.1,1.1,0.4,0.372,0.46,34.7,2013,2023,11,False,34.0,18.1,52.2,0.1,0.07,0.04,0.47,3,0.0,0.0,0.0,0.0,SG
42,4909,Brandon Boston Jr.,486,71,141.0,35.0,13.0,73,140.0,46.0,447,176,6.7,1.0,1.9,0.5,0.2,0.329,0.394,13.8,2022,2023,2,False,-0.5,1.1,0.6000000000000001,0.03,-0.02,0.05,0.52,0,0.0,0.0,0.0,0.0,SG
43,4693,Brandon Clarke,2534,334,1325.0,165.0,204.0,237,169.0,49.0,1770,1069,10.7,1.4,5.6,0.7,0.9,0.29,0.604,21.3,2020,2023,4,False,12.700000000000001,7.3,20.0,0.19,0.12,0.07,0.58,0,0.0,0.0,0.0,0.0,PF
44,4379,Brandon Ingram,7924,1674,2142.0,292.0,229.0,413,1535.0,558.0,6191,2873,19.2,4.1,5.2,0.7,0.6,0.364,0.464,33.0,2017,2023,7,False,12.1,10.0,22.299999999999997,0.08,0.04,0.04,0.42,1,0.0,0.0,0.0,0.0,SF
45,4911,Braxton Key,162,22,101.0,20.0,22.0,25,42.0,12.0,145,67,6.5,0.9,4.0,0.8,0.9,0.286,0.462,16.1,2022,2023,2,False,-0.1,0.6,0.4,0.05,-0.01,0.07,0.16,0,0.0,0.0,0.0,0.0,SF
46,3801,Brook Lopez,15486,1345,5927.0,540.0,1723.0,946,2278.0,788.0,11918,5920,16.4,1.4,6.3,0.6,1.8,0.346,0.497,30.2,2009,2023,15,False,47.1,32.5,79.7,0.13,0.08,0.05,0.47,1,0.0,0.0,0.0,0.626,C
47,4594,Bruce Brown,2979,841,1481.0,325.0,196.0,349,596.0,203.0,2431,1172,8.5,2.4,4.2,0.9,0.6,0.341,0.482,24.6,2019,2023,5,False,7.8999999999999995,9.1,17.1,0.1,0.04,0.05,0.54,0,0.0,0.0,0.0,0.0,PG
48,4695,Bruno Fernando,773,135,660.0,36.0,110.0,227,51.0,7.0,577,311,3.4,0.6,2.9,0.2,0.5,0.137,0.539,9.0,2020,2023,4,False,1.5,1.9000000000000001,3.3000000000000003,0.08,0.04,0.04,0.28,0,0.0,0.0,0.0,0.0,C
49,5032,Bryce McGowens,246,54,93.0,15.0,6.0,46,80.0,26.0,202,80,5.3,1.2,2.0,0.3,0.1,0.325,0.396,17.1,2023,2023,1,False,-0.4,0.4,0.1,0.01,-0.02,0.02,0.33,0,0.0,0.0,0.0,0.0,SG
50,4381,Bryn Forbes,4439,598,811.0,188.0,19.0,506,2052.0,842.0,3658,1590,8.8,1.2,1.6,0.4,0.0,0.41,0.435,19.5,2017,2023,7,False,7.8,5.2,13.0,0.06,0.04,0.03,0.48,0,0.0,0.0,0.0,0.0,SG
51,5033,Buddy Boeheim,16,4,6.0,2.0,0.0,10,25.0,4.0,27,5,1.6,0.4,0.6,0.2,0.0,0.16,0.185,9.0,2023,2023,1,False,-0.2,0.0,-0.2,-0.11,-0.11,0.0,0.2,0,0.0,0.0,0.0,0.0,PG
52,4382,Buddy Hield,10938,1755,3025.0,586.0,196.0,711,5335.0,2115.0,9215,3961,15.4,2.5,4.3,0.8,0.3,0.396,0.43,28.9,2017,2023,7,False,12.8,11.700000000000001,24.6,0.06,0.03,0.03,0.31,0,0.0,0.0,0.0,0.0,SG
